0,134,209
0,133,209
0,132,209
0,131,209
0,130,209
0,129,209
0,128,209
0,127,209
0,126,209
0,125,209
0,124,209
0,123,209
0,122,209
0,121,209
0,120,209
0,119,209
0,118,209
0,117,209
0,116,209
0,115,209
0,114,209
0,113,209
0,112,209
0,111,209
0,110,209
0,109,209
0,108,209
0,107,209
0,106,209
0,105,209
0,104,209
0,103,209
0,102,209
0,101,209
0,100,209
0,99,209
0,98,209
0,97,209
0,96,209
0,95,209
0,94,209
0,93,209
0,92,209
0,91,209
0,90,209
0,89,209
0,88,209
0,87,209
0,86,209
0,85,209
0,84,209
0,83,209
0,82,209
0,81,209
0,80,209
0,79,209
0,79,210
0,79,211
1,65,228
2,73,207
2,74,207
2,75,207
2,76,207
2,77,207
2,78,207
2,79,207
2,80,207
2,81,207
2,82,207
2,83,207
2,84,207
2,85,207
2,86,207
2,87,207
2,88,207
2,89,207
2,90,207
2,91,207
2,92,207
2,93,207
2,94,207
2,95,207
2,96,207
2,97,207
2,98,207
2,99,207
2,100,207
2,101,207
2,102,207
2,103,207
2,104,207
2,105,207
2,106,207
2,107,207
2,108,207
2,109,207
2,110,207
2,111,207
2,112,207
2,113,207
2,114,207
2,115,207
2,116,207
2,117,207
2,118,207
2,119,207
2,120,207
2,121,207
2,122,207
2,123,207
2,124,207
2,125,207
2,126,207
2,127,207
2,128,207
2,129,207
2,130,207
2,131,207
2,132,207
2,133,207
2,134,207
2,135,207
2,136,207
2,137,207
2,138,207
2,139,207
2,140,207
2,141,207
2,142,207
2,143,207
2,144,207
2,145,207
2,146,207
2,147,207
2,148,207
2,149,207
2,150,207
2,151,207
2,152,207
2,153,207
2,154,207
2,155,207
2,156,207
2,157,207
2,158,207
2,159,207
2,160,207
2,161,207
2,162,207
2,163,207
2,164,207
2,165,207
2,166,207
2,167,207
2,168,207
2,169,207
2,170,207
2,171,207
2,172,207
2,173,207
2,174,207
2,175,207
2,175,208
2,175,209
2,175,210
2,175,211
2,175,212
2,175,213
2,175,214
2,175,215
2,175,216
2,175,217
2,175,218
2,175,219
2,175,220
2,175,221
2,175,222
2,175,223
2,175,224
2,175,225
2,175,226
2,175,227
2,175,228
2,175,229
2,175,230
2,175,231
2,175,232
2,175,233
2,175,234
2,175,235
2,175,236
2,174,236
2,174,237
2,173,237
2,173,238
2,172,238
2,172,239
2,171,239
2,170,239
2,170,240
2,169,240
2,168,240
2,168,241
2,167,241
2,166,241
2,166,242
2,165,242
2,164,242
2,163,242
2,163,243
2,162,243
2,161,243
2,160,243
2,159,243
2,158,243
2,157,243
2,156,243
2,155,243
2,154,243
2,153,243
2,152,243
2,151,243
2,150,243
2,149,243
2,148,243
2,147,243
2,146,243
2,145,243
2,144,243
2,143,243
2,142,243
2,141,243
2,140,243
2,139,243
2,138,243
2,137,243
2,136,243
2,135,243
2,134,243
2,133,243
2,133,244
2,132,244
2,131,244
2,130,244
2,129,244
2,128,244
2,127,244
2,126,244
2,125,244
2,124,244
2,124,245
2,124,246
2,124,247
2,124,248
2,124,249
2,124,250
2,124,251
2,124,252
2,124,253
2,124,254
2,124,255
2,123,255
2,123,256
2,122,256
2,121,256
2,121,257
2,120,257
2,119,257
2,119,258
2,118,258
2,117,258
2,116,258
2,115,258
2,115,259
2,114,259
2,113,259
2,112,259
2,111,259
2,110,259
2,109,259
2,108,259
2,107,259
2,106,259
2,105,259
2,104,259
2,103,259
2,102,259
2,101,259
2,100,259
2,99,259
2,98,259
2,97,259
2,96,259
2,95,259
2,94,259
2,93,259
2,92,259
2,91,259
2,90,259
2,89,259
2,88,259
2,87,259
2,86,259
2,86,260
2,86,261
2,86,262
2,86,263
2,86,264
2,86,265
2,86,266
2,86,267
2,86,268
2,86,269
2,86,270
2,86,271
2,86,272
2,86,273
2,86,274
2,86,275
2,86,276
2,86,277
2,86,278
2,86,279
2,86,280
