epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,475.924,2.27714,3.12662,1.39634,0.78775,0.06978,0.0457,0.0222,1.7511,2.26525,1.30831,0.000332066,0.000332066,0.000332066
2,968.395,1.97896,2.38284,1.31698,0.74496,0.06694,0.0527,0.02683,1.67852,2.21918,1.24995,0.00053365,0.00053365,0.00053365
3,1458.92,1.80734,2.13106,1.24805,0.61342,0.09005,0.06441,0.03454,1.54116,1.86594,1.19894,0.000603234,0.000603234,0.000603234
4,1927.95,1.82236,2.08947,1.24005,0.60963,0.08682,0.06448,0.03578,1.461,1.79128,1.16403,0.000406,0.000406,0.000406
5,2397.89,1.70399,1.92975,1.19428,0.78051,0.09528,0.07472,0.0415,1.40338,1.74443,1.1471,0.000208,0.000208,0.000208
