epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,553.584,2.19539,3.88316,4.0644,1.52919,0.74646,0.05662,0.04458,0.02139,0.73762,0.05385,0.04163,0.01866,1.86559,3.17437,2.70289,1.40637,0.000333016,0.000333016,0.000333016
2,1155.64,1.97066,3.31899,3.4086,1.4246,0.57349,0.06248,0.04377,0.02178,0.56512,0.05682,0.03901,0.01598,1.77395,2.86222,2.73671,1.39549,0.000534412,0.000534412,0.000534412
3,1778.03,1.90808,3.24298,3.0145,1.3908,0.61501,0.07886,0.05827,0.03149,0.61486,0.07633,0.05742,0.02657,1.65682,2.68107,2.34736,1.38723,0.000603808,0.000603808,0.000603808
4,2393.03,1.80389,3.01783,2.79747,1.34834,0.60278,0.08972,0.0642,0.03474,0.59917,0.08286,0.06163,0.02692,1.59104,2.55337,2.06975,1.30754,0.000406,0.000406,0.000406
5,3083.24,1.73678,2.87152,2.61448,1.30354,0.62121,0.10396,0.06641,0.03647,0.6179,0.09463,0.06178,0.02795,1.48888,2.47086,2.03741,1.25841,0.000208,0.000208,0.000208
